"Year","Series_ID","Series","Unit","Value"
"2005",2115,"Tariff lines applied to imports with zero-tariff, all products","Percentage",66.69167
"2010",2115,"Tariff lines applied to imports with zero-tariff, all products","Percentage",57.61317
"2015",2115,"Tariff lines applied to imports with zero-tariff, all products","Percentage",74.92241
"2016",2115,"Tariff lines applied to imports with zero-tariff, all products","Percentage",75.72156
"2017",2115,"Tariff lines applied to imports with zero-tariff, all products","Percentage",73.53993
"2018",2115,"Tariff lines applied to imports with zero-tariff, all products","Percentage",74.19547
"2019",2115,"Tariff lines applied to imports with zero-tariff, all products","Percentage",81.20347
"2020",2115,"Tariff lines applied to imports with zero-tariff, all products","Percentage",77.2459
"2021",2115,"Tariff lines applied to imports with zero-tariff, all products","Percentage",67.20297
"2022",2115,"Tariff lines applied to imports with zero-tariff, all products","Percentage",70.49626
"2023",2115,"Tariff lines applied to imports with zero-tariff, all products","Percentage",72.37113
