"Year","Series_ID","Series","Unit","Value"
"2000",5360,"Greenhouse gas (GHG) emissions without LULUCF","Million tons of CO2 equivalent",18.24741
"2001",5360,"Greenhouse gas (GHG) emissions without LULUCF","Million tons of CO2 equivalent",16.29303
"2002",5360,"Greenhouse gas (GHG) emissions without LULUCF","Million tons of CO2 equivalent",14.33866
"2003",5360,"Greenhouse gas (GHG) emissions without LULUCF","Million tons of CO2 equivalent",12.38428
"2004",5360,"Greenhouse gas (GHG) emissions without LULUCF","Million tons of CO2 equivalent",10.4299
"2005",5360,"Greenhouse gas (GHG) emissions without LULUCF","Million tons of CO2 equivalent",8.47552
"2006",5360,"Greenhouse gas (GHG) emissions without LULUCF","Million tons of CO2 equivalent",8.27983
"2007",5360,"Greenhouse gas (GHG) emissions without LULUCF","Million tons of CO2 equivalent",8.08414
"2008",5360,"Greenhouse gas (GHG) emissions without LULUCF","Million tons of CO2 equivalent",7.88845
"2009",5360,"Greenhouse gas (GHG) emissions without LULUCF","Million tons of CO2 equivalent",7.69276
"2010",5360,"Greenhouse gas (GHG) emissions without LULUCF","Million tons of CO2 equivalent",7.49707
"2011",5360,"Greenhouse gas (GHG) emissions without LULUCF","Million tons of CO2 equivalent",7.58343
"2012",5360,"Greenhouse gas (GHG) emissions without LULUCF","Million tons of CO2 equivalent",7.7457
"2013",5360,"Greenhouse gas (GHG) emissions without LULUCF","Million tons of CO2 equivalent",8.11219
"2014",5360,"Greenhouse gas (GHG) emissions without LULUCF","Million tons of CO2 equivalent",9.34034
"2015",5360,"Greenhouse gas (GHG) emissions without LULUCF","Million tons of CO2 equivalent",10.53696
"2016",5360,"Greenhouse gas (GHG) emissions without LULUCF","Million tons of CO2 equivalent",10.87793
"2017",5360,"Greenhouse gas (GHG) emissions without LULUCF","Million tons of CO2 equivalent",10.76285
