"Year","Series_ID","Series","Unit","Value"
"2000",7940,"Countries with National Human Rights Institutions in compliance with the Paris Principles","0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
"2005",7940,"Countries with National Human Rights Institutions in compliance with the Paris Principles","0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
"2010",7940,"Countries with National Human Rights Institutions in compliance with the Paris Principles","0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
"2015",7940,"Countries with National Human Rights Institutions in compliance with the Paris Principles","0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
"2016",7940,"Countries with National Human Rights Institutions in compliance with the Paris Principles","0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
"2017",7940,"Countries with National Human Rights Institutions in compliance with the Paris Principles","0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
"2018",7940,"Countries with National Human Rights Institutions in compliance with the Paris Principles","0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
"2019",7940,"Countries with National Human Rights Institutions in compliance with the Paris Principles","0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
"2020",7940,"Countries with National Human Rights Institutions in compliance with the Paris Principles","0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
"2021",7940,"Countries with National Human Rights Institutions in compliance with the Paris Principles","0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
"2022",7940,"Countries with National Human Rights Institutions in compliance with the Paris Principles","0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
"2023",7940,"Countries with National Human Rights Institutions in compliance with the Paris Principles","0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
"2024",7940,"Countries with National Human Rights Institutions in compliance with the Paris Principles","0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant",0
