"Year","Series","Unit","Value"
"2000","New HIV infections, aged 0-14","Per 100,000 population",17
"2001","New HIV infections, aged 0-14","Per 100,000 population",20
"2002","New HIV infections, aged 0-14","Per 100,000 population",22
"2003","New HIV infections, aged 0-14","Per 100,000 population",23
"2004","New HIV infections, aged 0-14","Per 100,000 population",24
"2005","New HIV infections, aged 0-14","Per 100,000 population",24
"2006","New HIV infections, aged 0-14","Per 100,000 population",24
"2007","New HIV infections, aged 0-14","Per 100,000 population",24
"2008","New HIV infections, aged 0-14","Per 100,000 population",23
"2009","New HIV infections, aged 0-14","Per 100,000 population",20
"2010","New HIV infections, aged 0-14","Per 100,000 population",22
"2011","New HIV infections, aged 0-14","Per 100,000 population",21
"2012","New HIV infections, aged 0-14","Per 100,000 population",19
"2013","New HIV infections, aged 0-14","Per 100,000 population",19
"2014","New HIV infections, aged 0-14","Per 100,000 population",18
"2015","New HIV infections, aged 0-14","Per 100,000 population",0.19
"2016","New HIV infections, aged 0-14","Per 100,000 population",0.2
"2017","New HIV infections, aged 0-14","Per 100,000 population",0.2
"2018","New HIV infections, aged 0-14","Per 100,000 population",0.19
"2019","New HIV infections, aged 0-14","Per 100,000 population",0.18
"2020","New HIV infections, aged 0-14","Per 100,000 population",0.22
"2021","New HIV infections, aged 0-14","Per 100,000 population",0.22
"2022","New HIV infections, aged 0-14","Per 100,000 population",0.23
"2023","New HIV infections, aged 0-14","Per 100,000 population",0.23
"2000","New HIV infections, aged 15-24","Per 100,000 population",72
"2001","New HIV infections, aged 15-24","Per 100,000 population",78
"2002","New HIV infections, aged 15-24","Per 100,000 population",82
"2003","New HIV infections, aged 15-24","Per 100,000 population",80
"2004","New HIV infections, aged 15-24","Per 100,000 population",77
"2005","New HIV infections, aged 15-24","Per 100,000 population",73
"2006","New HIV infections, aged 15-24","Per 100,000 population",65
"2007","New HIV infections, aged 15-24","Per 100,000 population",56
"2008","New HIV infections, aged 15-24","Per 100,000 population",49
"2009","New HIV infections, aged 15-24","Per 100,000 population",44
"2010","New HIV infections, aged 15-24","Per 100,000 population",44
"2011","New HIV infections, aged 15-24","Per 100,000 population",45
"2012","New HIV infections, aged 15-24","Per 100,000 population",45
"2013","New HIV infections, aged 15-24","Per 100,000 population",45
"2014","New HIV infections, aged 15-24","Per 100,000 population",46
"2015","New HIV infections, aged 15-24","Per 100,000 population",0.51
"2016","New HIV infections, aged 15-24","Per 100,000 population",0.54
"2017","New HIV infections, aged 15-24","Per 100,000 population",0.57
"2018","New HIV infections, aged 15-24","Per 100,000 population",0.65
"2019","New HIV infections, aged 15-24","Per 100,000 population",0.67
"2020","New HIV infections, aged 15-24","Per 100,000 population",0.73
"2021","New HIV infections, aged 15-24","Per 100,000 population",0.76
"2022","New HIV infections, aged 15-24","Per 100,000 population",0.8
"2023","New HIV infections, aged 15-24","Per 100,000 population",0.86
"2000","New HIV infections, aged 15-24, men","Per 100,000 population",51
"2001","New HIV infections, aged 15-24, men","Per 100,000 population",56
"2002","New HIV infections, aged 15-24, men","Per 100,000 population",59
"2003","New HIV infections, aged 15-24, men","Per 100,000 population",57
"2004","New HIV infections, aged 15-24, men","Per 100,000 population",55
"2005","New HIV infections, aged 15-24, men","Per 100,000 population",51
"2006","New HIV infections, aged 15-24, men","Per 100,000 population",46
"2007","New HIV infections, aged 15-24, men","Per 100,000 population",39
"2008","New HIV infections, aged 15-24, men","Per 100,000 population",34
"2009","New HIV infections, aged 15-24, men","Per 100,000 population",31
"2010","New HIV infections, aged 15-24, men","Per 100,000 population",30
"2011","New HIV infections, aged 15-24, men","Per 100,000 population",31
"2012","New HIV infections, aged 15-24, men","Per 100,000 population",30
"2013","New HIV infections, aged 15-24, men","Per 100,000 population",30
"2014","New HIV infections, aged 15-24, men","Per 100,000 population",30
"2015","New HIV infections, aged 15-24, men","Per 100,000 population",0.32
"2016","New HIV infections, aged 15-24, men","Per 100,000 population",0.33
"2017","New HIV infections, aged 15-24, men","Per 100,000 population",0.34
"2018","New HIV infections, aged 15-24, men","Per 100,000 population",0.38
"2019","New HIV infections, aged 15-24, men","Per 100,000 population",0.39
"2020","New HIV infections, aged 15-24, men","Per 100,000 population",0.42
"2021","New HIV infections, aged 15-24, men","Per 100,000 population",0.44
"2022","New HIV infections, aged 15-24, men","Per 100,000 population",0.46
"2023","New HIV infections, aged 15-24, men","Per 100,000 population",0.49
"2000","New HIV infections, aged 15-24, women","Per 100,000 population",95
"2001","New HIV infections, aged 15-24, women","Per 100,000 population",103
"2002","New HIV infections, aged 15-24, women","Per 100,000 population",108
"2003","New HIV infections, aged 15-24, women","Per 100,000 population",105
"2004","New HIV infections, aged 15-24, women","Per 100,000 population",102
"2005","New HIV infections, aged 15-24, women","Per 100,000 population",95
"2006","New HIV infections, aged 15-24, women","Per 100,000 population",86
"2007","New HIV infections, aged 15-24, women","Per 100,000 population",74
"2008","New HIV infections, aged 15-24, women","Per 100,000 population",64
"2009","New HIV infections, aged 15-24, women","Per 100,000 population",59
"2010","New HIV infections, aged 15-24, women","Per 100,000 population",58
"2011","New HIV infections, aged 15-24, women","Per 100,000 population",61
"2012","New HIV infections, aged 15-24, women","Per 100,000 population",61
"2013","New HIV infections, aged 15-24, women","Per 100,000 population",62
"2014","New HIV infections, aged 15-24, women","Per 100,000 population",64
"2015","New HIV infections, aged 15-24, women","Per 100,000 population",0.71
"2016","New HIV infections, aged 15-24, women","Per 100,000 population",0.76
"2017","New HIV infections, aged 15-24, women","Per 100,000 population",0.82
"2018","New HIV infections, aged 15-24, women","Per 100,000 population",0.93
"2019","New HIV infections, aged 15-24, women","Per 100,000 population",0.98
"2020","New HIV infections, aged 15-24, women","Per 100,000 population",1.1
"2021","New HIV infections, aged 15-24, women","Per 100,000 population",1.1
"2022","New HIV infections, aged 15-24, women","Per 100,000 population",1.2
"2023","New HIV infections, aged 15-24, women","Per 100,000 population",1.3
"2000","New HIV infections, aged 15-49","Per 100,000 population",87
"2001","New HIV infections, aged 15-49","Per 100,000 population",95
"2002","New HIV infections, aged 15-49","Per 100,000 population",100
"2003","New HIV infections, aged 15-49","Per 100,000 population",97
"2004","New HIV infections, aged 15-49","Per 100,000 population",93
"2005","New HIV infections, aged 15-49","Per 100,000 population",87
"2006","New HIV infections, aged 15-49","Per 100,000 population",78
"2007","New HIV infections, aged 15-49","Per 100,000 population",67
"2008","New HIV infections, aged 15-49","Per 100,000 population",58
"2009","New HIV infections, aged 15-49","Per 100,000 population",53
"2010","New HIV infections, aged 15-49","Per 100,000 population",52
"2011","New HIV infections, aged 15-49","Per 100,000 population",54
"2012","New HIV infections, aged 15-49","Per 100,000 population",53
"2013","New HIV infections, aged 15-49","Per 100,000 population",53
"2014","New HIV infections, aged 15-49","Per 100,000 population",54
"2015","New HIV infections, aged 15-49","Per 100,000 population",0.6
"2016","New HIV infections, aged 15-49","Per 100,000 population",0.64
"2017","New HIV infections, aged 15-49","Per 100,000 population",0.67
"2018","New HIV infections, aged 15-49","Per 100,000 population",0.76
"2019","New HIV infections, aged 15-49","Per 100,000 population",0.79
"2020","New HIV infections, aged 15-49","Per 100,000 population",0.85
"2021","New HIV infections, aged 15-49","Per 100,000 population",0.89
"2022","New HIV infections, aged 15-49","Per 100,000 population",0.94
"2023","New HIV infections, aged 15-49","Per 100,000 population",1
"2000","New HIV infections, aged 15-49, men","Per 100,000 population",74
"2001","New HIV infections, aged 15-49, men","Per 100,000 population",80
