"Year","Series_ID","Series","Unit","Value"
"2000",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",134.08653
"2001",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",1.0811
"2002",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",76.2232
"2003",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",58.28934
"2004",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",50.17288
"2005",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",42.35517
"2006",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",28.67878
"2007",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",37.82403
"2008",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",41.87509
"2009",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",59.19708
"2010",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",28.33771
"2011",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",46.77829
"2012",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",42.83765
"2013",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",39.07792
"2014",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",24.8898
"2015",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",72.79442
"2016",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",25.98182
"2017",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",48.94971
"2018",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",56.34903
"2019",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",127.46813
"2020",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",120.43455
"2021",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",156.60814
"2022",2603,"Official development assistance to medical research and basic heath sectors, total gross disbursement, by recipient","Million 2022 US dollars",90.84456
