"Year","Series_ID","Series","Unit","Value"
"2000",2593,"Dentistry personel density","Per 10,000 population",0.163
"2009",2593,"Dentistry personel density","Per 10,000 population",0.164
"2018",2593,"Dentistry personel density","Per 10,000 population",0.152
"2019",2593,"Dentistry personel density","Per 10,000 population",0.065
"2021",2593,"Dentistry personel density","Per 10,000 population",0.049
"2023",2593,"Dentistry personel density","Per 10,000 population",0.05
"2000",2579,"Nursing and midwifery personnel density","Per 10,000 population",5.158
"2008",2579,"Nursing and midwifery personnel density","Per 10,000 population",3.984
"2010",2579,"Nursing and midwifery personnel density","Per 10,000 population",4.804
"2018",2579,"Nursing and midwifery personnel density","Per 10,000 population",5.009
"2019",2579,"Nursing and midwifery personnel density","Per 10,000 population",4.166
"2021",2579,"Nursing and midwifery personnel density","Per 10,000 population",5.113
"2012",2635,"Pharmaceutical personnel density","Per 10,000 population",0.441
"2017",2635,"Pharmaceutical personnel density","Per 10,000 population",0.623
"2018",2635,"Pharmaceutical personnel density","Per 10,000 population",0.123
"2021",2635,"Pharmaceutical personnel density","Per 10,000 population",0.079
"2023",2635,"Pharmaceutical personnel density","Per 10,000 population",0.08
"2000",2592,"Physicians density","Per 10,000 population",0.499
"2008",2592,"Physicians density","Per 10,000 population",0.467
"2010",2592,"Physicians density","Per 10,000 population",0.496
"2018",2592,"Physicians density","Per 10,000 population",0.645
"2019",2592,"Physicians density","Per 10,000 population",0.608
"2021",2592,"Physicians density","Per 10,000 population",0.629
"2023",2592,"Physicians density","Per 10,000 population",0.61
