Indicator,Disaggregations,Number of disaggregations
#1-3-1,"Series_ID, Unit",2
#10-4-1,"Series_ID, Unit",2
#10-7-2,"Series_ID, Unit",2
#10-a-1,"Series_ID, Unit",2
#10-b-1,"Series_ID, Unit",2
#10-c-1,"Series_ID, Unit",2
#11-1-1,"Series_ID, Unit",2
#11-5-1,"Series_ID, Unit",2
#11-5-2,"Series_ID, Unit",2
#11-5-3,"Series_ID, Unit",2
#11-6-2,"Series_ID, Unit",2
#11-a-1,"Series_ID, Unit",2
#11-b-1,"Series_ID, Unit",2
#11-b-2,"Series_ID, Unit",2
#12-2-1,"Series_ID, Unit",2
#12-2-2,"Series_ID, Unit",2
#12-3-1,"Series_ID, Unit",2
#12-4-1,"Series_ID, Unit",2
#12-a-1,"Series_ID, Unit",2
#12-c-1,"Series_ID, Unit",2
#13-1-1,"Series_ID, Unit",2
#13-1-2,"Series_ID, Unit",2
#13-1-3,"Series_ID, Unit",2
#13-2-2,"Series_ID, Unit",2
#14-1-1,"Series_ID, Unit",2
#14-5-1,"Series_ID, Unit",2
#15-1-1,"Series_ID, Unit",2
#15-1-2,"Series_ID, Unit",2
#15-2-1,"Series_ID, Unit",2
#15-4-1,"Series_ID, Unit",2
#15-4-2,"Series_ID, Unit",2
#15-5-1,"Series_ID, Unit",2
#15-6-1,"Series_ID, Unit",2
#15-8-1,"Series_ID, Unit",2
#15-9-1,"Series_ID, Unit",2
#15-a-1,"Series_ID, Unit",2
#15-b-1,"Series_ID, Unit",2
#16-1-1,"Series_ID, Unit",2
#16-2-3,"Series_ID, Unit",2
#16-3-2,"Series_ID, Unit",2
#16-5-1,"Series_ID, Unit",2
#16-5-2,"Series_ID, Unit",2
#16-6-1,"Series_ID, Unit",2
#16-7-1,"Series_ID, Unit",2
#16-9-1,"Series_ID, Unit",2
#16-a-1,"Series_ID, Unit",2
#17-1-1,"Series_ID, Unit",2
#17-1-2,"Series_ID, Unit",2
#17-10-1,"Series_ID, Unit",2
#17-11-1,"Series_ID, Unit",2
#17-12-1,"Series_ID, Unit",2
#17-13-1,"Series_ID, Unit",2
#17-15-1,"Series_ID, Unit",2
#17-16-1,"Series_ID, Unit",2
#17-17-1,"Series_ID, Unit",2
#17-18-1,"Series_ID, Unit",2
#17-18-3,"Series_ID, Unit",2
#17-19-1,"Series_ID, Unit",2
#17-3-1,"Series_ID, Unit",2
#17-3-2,"Series_ID, Unit",2
#17-4-1,"Series_ID, Unit",2
#17-5-1,"Series_ID, Unit",2
#17-6-1,"Series_ID, Unit",2
#17-8-1,"Series_ID, Unit",2
#17-9-1,"Series_ID, Unit",2
#2-1-1,"Series_ID, Unit",2
#2-2-1,"Series_ID, Unit",2
#2-2-2,"Series_ID, Unit",2
#2-2-3,"Series_ID, Unit",2
#2-4-1,"Series_ID, Unit",2
#2-5-1,"Series_ID, Unit",2
#2-a-1,"Series_ID, Unit",2
#2-a-2,"Series_ID, Unit",2
#2-c-1,"Series_ID, Unit",2
#3-1-1,"Series_ID, Unit",2
#3-1-2,"Series_ID, Unit",2
#3-2-1,"Series_ID, Unit",2
#3-2-2,"Series_ID, Unit",2
#3-3-1,"Series_ID, Unit",2
#3-3-2,"Series_ID, Unit",2
#3-3-3,"Series_ID, Unit",2
#3-3-4,"Series_ID, Unit",2
#3-3-5,"Series_ID, Unit",2
#3-4-1,"Series_ID, Unit",2
#3-4-2,"Series_ID, Unit",2
#3-5-1,"Series_ID, Unit",2
#3-5-2,"Series_ID, Unit",2
#3-6-1,"Series_ID, Unit",2
#3-7-1,"Series_ID, Unit",2
#3-7-2,"Series_ID, Unit",2
#3-8-1,"Series_ID, Unit",2
#3-9-1,"Series_ID, Unit",2
#3-9-2,"Series_ID, Unit",2
#3-9-3,"Series_ID, Unit",2
#3-a-1,"Series_ID, Unit",2
#3-b-1,"Series_ID, Unit",2
#3-b-2,"Series_ID, Unit",2
#3-c-1,"Series_ID, Unit",2
#3-d-1,"Series_ID, Unit",2
#4-1-2,"Series_ID, Unit",2
#4-2-2,"Series_ID, Unit",2
#4-3-1,"Series_ID, Unit",2
#4-5-1,"Series_ID, Unit",2
#4-b-1,"Series_ID, Unit",2
#5-1-1,"Series_ID, Unit",2
#5-2-1,"Series_ID, Unit",2
#5-3-1,"Series_ID, Unit",2
