Year,Series_ID,Series,Unit,Value
2001,72,Prevalence of undernourishment,% of population,26.8
2002,72,Prevalence of undernourishment,% of population,27.5
2003,72,Prevalence of undernourishment,% of population,28.2
2004,72,Prevalence of undernourishment,% of population,29.1
2005,72,Prevalence of undernourishment,% of population,28.0
2006,72,Prevalence of undernourishment,% of population,27.9
2007,72,Prevalence of undernourishment,% of population,27.2
2008,72,Prevalence of undernourishment,% of population,27.6
2009,72,Prevalence of undernourishment,% of population,26.9
2010,72,Prevalence of undernourishment,% of population,26.1
2011,72,Prevalence of undernourishment,% of population,24.6
2012,72,Prevalence of undernourishment,% of population,23.3
2013,72,Prevalence of undernourishment,% of population,22.1
2014,72,Prevalence of undernourishment,% of population,22.4
2015,72,Prevalence of undernourishment,% of population,26.8
2016,72,Prevalence of undernourishment,% of population,27.2
2017,72,Prevalence of undernourishment,% of population,27.3
2018,72,Prevalence of undernourishment,% of population,27.5
2019,72,Prevalence of undernourishment,% of population,27.3
2020,72,Prevalence of undernourishment,% of population,27.4
2021,72,Prevalence of undernourishment,% of population,27.0
2022,72,Prevalence of undernourishment,% of population,27.7
