Year,Series_ID,Series,Unit,Value
2000,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,59
2001,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,55
2002,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,61
2003,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,68
2004,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,62
2005,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,72
2006,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,70
2007,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,66
2008,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,56
2009,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,64
2010,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,55
2011,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,58
2012,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,57
2013,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,60
2014,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,52
2015,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,49
2016,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,46
2017,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,36
2018,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,35
2019,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,35
2020,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,40
2021,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,32
2022,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,37
2023,2644,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine,% of children aged 1,35
2015,2646,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine,% of children aged 1,20
2016,2646,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine,% of children aged 1,20
2017,2646,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine,% of children aged 1,36
2018,2646,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine,% of children aged 1,35
2019,2646,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine,% of children aged 1,35
2020,2646,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine,% of children aged 1,41
2021,2646,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine,% of children aged 1,34
2022,2646,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine,% of children aged 1,38
2023,2646,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine,% of children aged 1,29
2019,2645,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2),% of children aged 1,20
2020,2645,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2),% of children aged 1,27
2021,2645,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2),% of children aged 1,20
2022,2645,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2),% of children aged 1,25
2023,2645,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2),% of children aged 1,41
