Year,Series_ID,Series,Unit,Value
2000,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,13.92508
2001,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,48.45509
2002,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,8.87377
2003,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,3.12709
2004,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,6.9003
2005,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,2.25969
2006,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,3.69854
2007,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,3.29996
2008,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,4.5075
2009,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,1.16056
2010,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,13.46574
2011,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,7.04376
2012,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,10.28333
2013,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,2.28317
2014,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,5.21103
2015,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,6.61566
2016,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,32.97914
2017,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,25.56449
2018,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,31.33055
2019,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,27.07272
2020,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,17.69896
2021,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,20.79545
2022,314,"Official development assistance (total gross disbursement) for water supply and sanitation,  by recipient",Million 2022 US dollars,30.53211
