Year,Series_ID,Series,Unit,Value
2000,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.09
2001,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.1
2002,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.11
2003,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.12
2004,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.12
2005,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2006,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2007,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2008,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2009,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2010,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2011,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2012,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2013,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2014,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2015,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2016,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2017,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2018,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2019,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2020,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2021,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
2022,2052,Water stress: (total freshwater withdrawal as proportion of available freshwater),% of total renewable water per annum,0.13
