Year,Series_ID,Series,Unit,Value
2000,460,GDP by activity: Manufacturing,% of GDP (2015 USD),2.61
2001,460,GDP by activity: Manufacturing,% of GDP (2015 USD),2.61
2002,460,GDP by activity: Manufacturing,% of GDP (2015 USD),2.41
2003,460,GDP by activity: Manufacturing,% of GDP (2015 USD),2.42
2004,460,GDP by activity: Manufacturing,% of GDP (2015 USD),2.46
2005,460,GDP by activity: Manufacturing,% of GDP (2015 USD),2.57
2006,460,GDP by activity: Manufacturing,% of GDP (2015 USD),2.61
2007,460,GDP by activity: Manufacturing,% of GDP (2015 USD),2.74
2008,460,GDP by activity: Manufacturing,% of GDP (2015 USD),2.88
2009,460,GDP by activity: Manufacturing,% of GDP (2015 USD),2.65
2010,460,GDP by activity: Manufacturing,% of GDP (2015 USD),2.58
2011,460,GDP by activity: Manufacturing,% of GDP (2015 USD),2.67
2012,460,GDP by activity: Manufacturing,% of GDP (2015 USD),2.54
2013,460,GDP by activity: Manufacturing,% of GDP (2015 USD),2.49
2014,460,GDP by activity: Manufacturing,% of GDP (2015 USD),2.17
2015,460,GDP by activity: Manufacturing,% of GDP (2015 USD),1.78
2016,460,GDP by activity: Manufacturing,% of GDP (2015 USD),1.75
2017,460,GDP by activity: Manufacturing,% of GDP (2015 USD),1.75
2018,460,GDP by activity: Manufacturing,% of GDP (2015 USD),1.64
2019,460,GDP by activity: Manufacturing,% of GDP (2015 USD),1.56
2020,460,GDP by activity: Manufacturing,% of GDP (2015 USD),1.51
2021,460,GDP by activity: Manufacturing,% of GDP (2015 USD),1.63
2022,460,GDP by activity: Manufacturing,% of GDP (2015 USD),1.71
2023,460,GDP by activity: Manufacturing,% of GDP (2015 USD),1.75
2024,460,GDP by activity: Manufacturing,% of GDP (2015 USD),1.72
2000,461,GDP by activity: Manufacturing,2015 US dollars per capita,53.76
2001,461,GDP by activity: Manufacturing,2015 US dollars per capita,52.03
2002,461,GDP by activity: Manufacturing,2015 US dollars per capita,47.4
2003,461,GDP by activity: Manufacturing,2015 US dollars per capita,48.07
2004,461,GDP by activity: Manufacturing,2015 US dollars per capita,47.55
2005,461,GDP by activity: Manufacturing,2015 US dollars per capita,49.91
2006,461,GDP by activity: Manufacturing,2015 US dollars per capita,50.28
2007,461,GDP by activity: Manufacturing,2015 US dollars per capita,55.18
2008,461,GDP by activity: Manufacturing,2015 US dollars per capita,56.12
2009,461,GDP by activity: Manufacturing,2015 US dollars per capita,53.35
2010,461,GDP by activity: Manufacturing,2015 US dollars per capita,55.68
2011,461,GDP by activity: Manufacturing,2015 US dollars per capita,56.6
2012,461,GDP by activity: Manufacturing,2015 US dollars per capita,54.77
2013,461,GDP by activity: Manufacturing,2015 US dollars per capita,54.23
2014,461,GDP by activity: Manufacturing,2015 US dollars per capita,52.38
2015,461,GDP by activity: Manufacturing,2015 US dollars per capita,44.15
2016,461,GDP by activity: Manufacturing,2015 US dollars per capita,44.7
2017,461,GDP by activity: Manufacturing,2015 US dollars per capita,45.25
2018,461,GDP by activity: Manufacturing,2015 US dollars per capita,41.23
2019,461,GDP by activity: Manufacturing,2015 US dollars per capita,40.08
2020,461,GDP by activity: Manufacturing,2015 US dollars per capita,36.72
2021,461,GDP by activity: Manufacturing,2015 US dollars per capita,38.61
2022,461,GDP by activity: Manufacturing,2015 US dollars per capita,41.85
2023,461,GDP by activity: Manufacturing,2015 US dollars per capita,43.15
2024,461,GDP by activity: Manufacturing,2015 US dollars per capita,43.68
