Year,Series_ID,Series,Unit,Value
2010,2591,People requiring interventions against NTD: Total,Thousand people,6113.938
2011,2591,People requiring interventions against NTD: Total,Thousand people,6167.038
2012,2591,People requiring interventions against NTD: Total,Thousand people,6205.145
2013,2591,People requiring interventions against NTD: Total,Thousand people,6252.956
2014,2591,People requiring interventions against NTD: Total,Thousand people,6301.846
2015,2591,People requiring interventions against NTD: Total,Thousand people,6425.746
2016,2591,People requiring interventions against NTD: Total,Thousand people,6528.722
2017,2591,People requiring interventions against NTD: Total,Thousand people,6546.649
2018,2591,People requiring interventions against NTD: Total,Thousand people,6261.977
2019,2591,People requiring interventions against NTD: Total,Thousand people,6982.087
2020,2591,People requiring interventions against NTD: Total,Thousand people,6982.087
2021,2591,People requiring interventions against NTD: Total,Thousand people,7046.178
2022,2591,People requiring interventions against NTD: Total,Thousand people,7328.058
2023,2591,People requiring interventions against NTD: Total,Thousand people,7465.549
