Year,Series_ID,Series,Unit,Value
2000,2537,"Renewable electricity capacity, total",Watts per capita,38.60631
2001,2537,"Renewable electricity capacity, total",Watts per capita,37.37342
2002,2537,"Renewable electricity capacity, total",Watts per capita,36.1423
2003,2537,"Renewable electricity capacity, total",Watts per capita,35.98961
2004,2537,"Renewable electricity capacity, total",Watts per capita,34.83684
2005,2537,"Renewable electricity capacity, total",Watts per capita,38.35067
2006,2537,"Renewable electricity capacity, total",Watts per capita,37.15354
2007,2537,"Renewable electricity capacity, total",Watts per capita,40.05655
2008,2537,"Renewable electricity capacity, total",Watts per capita,39.96
2009,2537,"Renewable electricity capacity, total",Watts per capita,39.03225
2010,2537,"Renewable electricity capacity, total",Watts per capita,38.93229
2011,2537,"Renewable electricity capacity, total",Watts per capita,37.81833
2012,2537,"Renewable electricity capacity, total",Watts per capita,38.19078
2013,2537,"Renewable electricity capacity, total",Watts per capita,37.40722
2014,2537,"Renewable electricity capacity, total",Watts per capita,36.47099
2015,2537,"Renewable electricity capacity, total",Watts per capita,37.42718
2016,2537,"Renewable electricity capacity, total",Watts per capita,36.55393
2017,2537,"Renewable electricity capacity, total",Watts per capita,35.68604
2018,2537,"Renewable electricity capacity, total",Watts per capita,34.87302
2019,2537,"Renewable electricity capacity, total",Watts per capita,34.27544
2020,2537,"Renewable electricity capacity, total",Watts per capita,33.56515
2021,2537,"Renewable electricity capacity, total",Watts per capita,32.9578
2022,2537,"Renewable electricity capacity, total",Watts per capita,32.66083
2023,2537,"Renewable electricity capacity, total",Watts per capita,38.38864
