Year,Series_ID,Series,Unit,Value
2000,396,FDI inflows,Million US dollars,98.23303
2001,396,FDI inflows,Million US dollars,63.77039
2002,396,FDI inflows,Million US dollars,18.27881
2003,396,FDI inflows,Million US dollars,101.02569
2004,396,FDI inflows,Million US dollars,25.75608
2005,396,FDI inflows,Million US dollars,33.5273
2006,396,FDI inflows,Million US dollars,-6.87009
2007,396,FDI inflows,Million US dollars,95.77284
2008,396,FDI inflows,Million US dollars,-30.36936
2009,396,FDI inflows,Million US dollars,423.20898
2010,396,FDI inflows,Million US dollars,28.86783
2011,396,FDI inflows,Million US dollars,-309.19834
2012,396,FDI inflows,Million US dollars,25.0042
2013,396,FDI inflows,Million US dollars,18.22224
2014,396,FDI inflows,Million US dollars,-30.40111
2015,396,FDI inflows,Million US dollars,27.97635
2016,396,FDI inflows,Million US dollars,-39.76492
2017,396,FDI inflows,Million US dollars,-180.17671
2018,396,FDI inflows,Million US dollars,305.66346
2019,396,FDI inflows,Million US dollars,335.17676
2020,396,FDI inflows,Million US dollars,111.7676
2021,396,FDI inflows,Million US dollars,-10.71249
2022,396,FDI inflows,Million US dollars,458.40889
2023,396,FDI inflows,Million US dollars,-424.80315
2000,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,333.10067
2001,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,238.24067
2002,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,253.68
2003,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,240.1594
2004,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,199.04
2005,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,497.74233
2006,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,417.74733
2007,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,521.41733
2008,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,328.99
2009,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,2264.21
2010,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,5366.158
2011,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,2043.57914
2012,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,4576.41203
2013,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,2561.57
2014,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,-2344.27435
2015,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,-2324.81914
2016,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,421.81049
2017,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,399.56096
2018,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,677.76836
2019,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,528.39137
2020,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,1490.43097
2021,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,424.32833
2022,537,"Total assistance for development (ODA+OOF+private), by recipient",Million US dollars,572.4559
