Year,Series_ID,Series,Unit,Value
2000,361,Important sites for mountain biodiversity,Percentage,6.66452
2001,361,Important sites for mountain biodiversity,Percentage,6.66452
2002,361,Important sites for mountain biodiversity,Percentage,6.66452
2003,361,Important sites for mountain biodiversity,Percentage,6.74543
2004,361,Important sites for mountain biodiversity,Percentage,6.74543
2005,361,Important sites for mountain biodiversity,Percentage,6.74543
2006,361,Important sites for mountain biodiversity,Percentage,6.74543
2007,361,Important sites for mountain biodiversity,Percentage,7.10811
2008,361,Important sites for mountain biodiversity,Percentage,7.18002
2009,361,Important sites for mountain biodiversity,Percentage,7.26016
2010,361,Important sites for mountain biodiversity,Percentage,7.26016
2011,361,Important sites for mountain biodiversity,Percentage,7.26016
2012,361,Important sites for mountain biodiversity,Percentage,7.26016
2013,361,Important sites for mountain biodiversity,Percentage,7.26016
2014,361,Important sites for mountain biodiversity,Percentage,7.26016
2015,361,Important sites for mountain biodiversity,Percentage,7.26016
2016,361,Important sites for mountain biodiversity,Percentage,7.26016
2017,361,Important sites for mountain biodiversity,Percentage,7.38404
2018,361,Important sites for mountain biodiversity,Percentage,7.38404
2019,361,Important sites for mountain biodiversity,Percentage,7.38404
2020,361,Important sites for mountain biodiversity,Percentage,7.38404
2021,361,Important sites for mountain biodiversity,Percentage,7.38404
2022,361,Important sites for mountain biodiversity,Percentage,7.38404
2023,361,Important sites for mountain biodiversity,Percentage,7.38404
