Year,Series_ID,Series,Unit,Value
2010,1838,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,1.5
2011,1838,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,-0.76
2012,1838,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,-1.2
2013,1838,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,-0.82
2014,1838,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,0.84
2015,1838,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,0.64
2016,1838,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,0.25
2017,1838,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,0.09
2018,1838,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,-0.33
2019,1838,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,0.69
2020,1838,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,0.02
2021,1838,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,0.8
2022,1838,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,1.63
2023,1838,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",Index,2.23
