Year,Series_ID,Series,Unit,Value
2006,543,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,22.22177
2007,543,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,18.37737
2008,543,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,15.74018
2009,543,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,20.88057
2010,543,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,17.38574
2011,543,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,19.67485
2012,543,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,19.39417
2013,543,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,31.56554
2014,543,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,25.00764
2015,543,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,31.66628
2016,543,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,30.94078
2017,543,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,6.80712
2018,543,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,15.60886
2019,543,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,11.23059
2020,543,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,12.95146
2021,543,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,2.68319
2022,543,"Official flows for scholarships, total, by recipient",Million 2022 US dollars,4.93524
