Value,Disaggregation combinations using this value,Number of indicators
1159,2,2
1170,2,2
1173,2,2
1175,2,2
1382,1,1
1417,1,1
1418,1,1
1419,1,1
1839,1,1
1895,1,1
1981,1,1
2057,1,1
2085,1,1
2087,1,1
2088,1,1
2093,1,1
2094,1,1
2101,1,1
2108,1,1
2115,1,1
2169,1,1
2537,1,1
2698,1,1
2700,1,1
2783,1,1
2949,1,1
2957,1,1
3088,1,1
3150,1,1
316,1,1
317,1,1
33,1,1
337,1,1
349,1,1
3545,1,1
358,1,1
361,1,1
363,1,1
3816,1,1
3852,1,1
3918,1,1
395,1,1
396,1,1
4014,1,1
409,1,1
4232,1,1
4251,1,1
435,1,1
4540,1,1
462,1,1
5083,1,1
5084,1,1
5085,1,1
5086,1,1
5087,1,1
5088,1,1
5089,1,1
5090,1,1
5091,1,1
5093,1,1
520,1,1
5360,1,1
537,1,1
5404,1,1
5405,1,1
5406,1,1
5407,1,1
5409,1,1
5410,1,1
5411,1,1
5415,1,1
5416,1,1
5418,1,1
5419,1,1
5420,1,1
5435,1,1
5436,1,1
5505,1,1
5506,1,1
5507,1,1
5508,1,1
5585,1,1
582,1,1
6100,1,1
6726,1,1
7219,1,1
7244,1,1
7245,1,1
7246,1,1
7247,1,1
7248,1,1
7280,1,1
7491,1,1
7492,1,1
7882,1,1
7928,1,1
7929,1,1
7930,1,1
7931,1,1
7932,1,1
7940,1,1
853,1,1
860,1,1
861,1,1
862,1,1
867,1,1
868,1,1
869,1,1
870,1,1
871,1,1
872,1,1
892,1,1
910,2,2
913,1,1
924,1,1
926,1,1
927,1,1
929,1,1
