Value,Disaggregation combinations using this value,Number of indicators
"% of children/household, female",1,1
"% of children/household, male",1,1
% of children/household,1,1
% of employed population,1,1
% of female population with severe disabilities,1,1
% of male population with severe disabilities,1,1
% of population above statutory pensionable age,1,1
% of population with severe disabilities,1,1
% of population,3,1
"% of unemployed population, female",1,1
"% of unemployed population, male",1,1
% of unemployed population,1,1
% of vulnerable female population,1,1
% of vulnerable male population,1,1
% of vulnerable population,1,1
